Filename,No.of_Parallel_Processes,Data,Time_Taken,Bandwidth,Time_Elapsed
10000000_8_o2c.txt,8,10.0,0.0003,38139.8137,1.6
30000000_4_o2c.txt,4,30.0,0.0015,19761.2747,1.47
40000000_64_o2c.txt,64,40.0,0.0016,25075.9629,15.83
20000000_8_o2c.txt,8,20.0,0.0006,36151.3675,1.84
10000000_1_o2c.txt,1,10.0,0.0018,5671.3455,0.62
10000000_128_o2c.txt,128,10.0,0.0003,31419.1794,24.93
20000000_4_o2c.txt,4,20.0,0.0009,22165.7603,1.46
40000000_8_o2c.txt,8,40.0,0.0012,34604.8825,1.93
10000000_64_o2c.txt,64,10.0,0.0003,30316.8374,19.43
40000000_4_o2c.txt,4,40.0,0.002,19611.1357,1.43
10000000_4_o2c.txt,4,10.0,0.0005,18864.1385,1.55
20000000_32_o2c.txt,32,20.0,0.0008,26280.7222,8.11
10000000_16_o2c.txt,16,10.0,0.0003,32779.9539,3.65
20000000_2_o2c.txt,2,20.0,0.0019,10565.3742,1.61
10000000_32_o2c.txt,32,10.0,0.0003,29163.655,10.7
10000000_2_o2c.txt,2,10.0,0.001,9805.863,1.62
20000000_128_o2c.txt,128,20.0,0.0007,26923.0236,29.62
20000000_1_o2c.txt,1,20.0,0.0036,5562.5087,0.59
30000000_2_o2c.txt,2,30.0,0.0029,10288.9425,1.53
40000000_1_o2c.txt,1,40.0,0.0071,5666.525,0.66
20000000_16_o2c.txt,16,20.0,0.0007,28941.1725,4.13
40000000_2_o2c.txt,2,40.0,0.0038,10545.1685,1.55
40000000_16_o2c.txt,16,40.0,0.0015,26163.9078,4.45
30000000_32_o2c.txt,32,30.0,0.0012,25458.2651,8.34
30000000_8_o2c.txt,8,30.0,0.0009,33962.1852,1.65
30000000_128_o2c.txt,128,30.0,0.0012,25456.7811,31.65
30000000_16_o2c.txt,16,30.0,0.0011,27208.9973,4.36
40000000_128_o2c.txt,128,40.0,0.0016,25000.8824,31.23
20000000_64_o2c.txt,64,20.0,0.0007,27613.4828,15.14
40000000_32_o2c.txt,32,40.0,0.0016,25070.8191,7.49
30000000_64_o2c.txt,64,30.0,0.0012,25593.3203,15.58
30000000_1_o2c.txt,1,30.0,0.0055,5409.304,0.58
