Filename,No.of_Parallel_Processes,No.of_Threads,Data(MB),Time_Taken(sec),Bandwidth(MB/sec),Time_Elapsed(sec)
10000000_1_4_o2c.txt,1,4,10.0,0.0018,5519.2269,31.33
10000000_1_64_o2c.txt,1,64,10.0,0.0152,659.5436,0.8
30000000_1_1_o2c.txt,1,1,30.0,0.0024,12307.8985,32.12
20000000_1_1_o2c.txt,1,1,20.0,0.0019,10666.6667,0.76
20000000_1_2_o2c.txt,1,2,20.0,0.0028,7046.5726,6.56
10000000_1_16_o2c.txt,1,16,10.0,0.0027,3685.5037,0.66
30000000_1_32_o2c.txt,1,32,30.0,0.0233,1286.2667,34.49
20000000_1_32_o2c.txt,1,32,20.0,0.0182,1096.4779,32.06
40000000_1_4_o2c.txt,1,4,40.0,0.0048,8253.1465,6.0
10000000_1_128_o2c.txt,1,128,10.0,0.027,371.0024,1.63
10000000_1_8_o2c.txt,1,8,10.0,0.0027,3750.827,32.84
10000000_1_2_o2c.txt,1,2,10.0,0.0017,5752.7463,31.34
40000000_1_1_o2c.txt,1,1,40.0,0.0034,11694.3373,31.65
40000000_1_2_o2c.txt,1,2,40.0,0.0055,7271.1649,5.7
30000000_1_2_o2c.txt,1,2,30.0,0.0036,8410.2307,30.58
40000000_1_32_o2c.txt,1,32,40.0,0.0285,1404.7533,11.34
40000000_1_16_o2c.txt,1,16,40.0,0.0079,5069.6895,33.03
40000000_1_8_o2c.txt,1,8,40.0,0.0087,4611.9383,7.37
10000000_1_1_o2c.txt,1,1,10.0,0.0008,12891.3444,0.63
20000000_1_16_o2c.txt,1,16,20.0,0.0049,4060.1837,32.55
20000000_1_8_o2c.txt,1,8,20.0,0.0057,3515.1904,32.11
30000000_1_4_o2c.txt,1,4,30.0,0.0039,7714.6495,32.51
30000000_1_8_o2c.txt,1,8,30.0,0.008,3756.9021,31.15
30000000_1_16_o2c.txt,1,16,30.0,0.0074,4045.8955,32.89
40000000_1_64_o2c.txt,1,64,40.0,0.0513,780.0188,31.84
20000000_1_4_o2c.txt,1,4,20.0,0.0029,6832.4782,31.95
